"trial","deckA","deckB","deckC","deckD","wins","losses","subjID","deck","net"
14,0,1,0,0,100,0,"03",2,100
15,0,1,0,0,100,0,"03",2,100
16,0,1,0,0,100,0,"03",2,100
17,0,1,0,0,100,0,"03",2,100
18,0,0,0,1,50,0,"03",4,50
19,0,0,1,0,50,-50,"03",3,0
20,1,0,0,0,100,0,"03",1,100
21,0,1,0,0,100,0,"03",2,100
22,0,1,0,0,100,0,"03",2,100
23,0,1,0,0,100,-1250,"03",2,-1150
24,0,0,0,1,50,0,"03",4,50
25,0,0,1,0,50,0,"03",3,50
26,0,1,0,0,100,0,"03",2,100
27,0,1,0,0,100,0,"03",2,100
28,1,0,0,0,100,0,"03",1,100
29,0,1,0,0,100,0,"03",2,100
30,1,0,0,0,100,-300,"03",1,-200
31,0,1,0,0,100,0,"03",2,100
32,1,0,0,0,100,0,"03",1,100
33,0,0,1,0,50,-50,"03",3,0
34,0,1,0,0,100,0,"03",2,100
35,1,0,0,0,100,-350,"03",1,-250
36,0,1,0,0,100,0,"03",2,100
37,0,0,0,1,50,0,"03",4,50
38,0,1,0,0,100,0,"03",2,100
39,0,1,0,0,100,0,"03",2,100
40,0,1,0,0,100,0,"03",2,100
41,0,1,0,0,100,0,"03",2,100
42,0,1,0,0,100,0,"03",2,100
43,0,0,0,1,50,0,"03",4,50
44,1,0,0,0,100,-250,"03",1,-150
45,0,1,0,0,100,0,"03",2,100
46,0,1,0,0,100,0,"03",2,100
47,0,1,0,0,100,0,"03",2,100
48,0,0,1,0,50,-50,"03",3,0
49,0,1,0,0,100,-1250,"03",2,-1150
50,0,0,0,1,50,0,"03",4,50
51,0,1,0,0,100,0,"03",2,100
52,0,1,0,0,100,0,"03",2,100
53,0,1,0,0,100,0,"03",2,100
54,0,1,0,0,100,0,"03",2,100
55,0,1,0,0,100,0,"03",2,100
56,0,1,0,0,100,0,"03",2,100
57,0,1,0,0,100,0,"03",2,100
58,1,0,0,0,100,0,"03",1,100
59,0,1,0,0,100,0,"03",2,100
60,0,1,0,0,100,0,"03",2,100
61,1,0,0,0,100,-150,"03",1,-50
62,0,1,0,0,100,0,"03",2,100
63,0,1,0,0,100,-1250,"03",2,-1150
64,0,0,1,0,50,0,"03",3,50
65,0,0,1,0,50,-50,"03",3,0
66,0,1,0,0,100,0,"03",2,100
67,0,1,0,0,100,0,"03",2,100
68,0,1,0,0,100,0,"03",2,100
69,0,1,0,0,100,0,"03",2,100
70,0,0,0,1,50,-250,"03",4,-200
71,1,0,0,0,100,-200,"03",1,-100
72,1,0,0,0,100,-350,"03",1,-250
73,1,0,0,0,100,0,"03",1,100
74,1,0,0,0,100,0,"03",1,100
75,0,1,0,0,100,0,"03",2,100
76,1,0,0,0,100,-150,"03",1,-50
77,0,0,1,0,50,0,"03",3,50
78,1,0,0,0,100,-250,"03",1,-150
79,0,1,0,0,100,0,"03",2,100
80,0,0,1,0,50,0,"03",3,50
81,1,0,0,0,100,-300,"03",1,-200
82,0,0,1,0,50,0,"03",3,50
83,0,1,0,0,100,0,"03",2,100
84,0,1,0,0,100,0,"03",2,100
85,0,1,0,0,100,0,"03",2,100
86,0,1,0,0,100,0,"03",2,100
87,0,1,0,0,100,-1250,"03",2,-1150
88,0,1,0,0,100,0,"03",2,100
89,1,0,0,0,100,0,"03",1,100
90,0,1,0,0,100,0,"03",2,100
91,0,1,0,0,100,0,"03",2,100
92,0,0,0,1,50,0,"03",4,50
93,0,0,0,1,50,0,"03",4,50
94,0,0,1,0,50,-50,"03",3,0
95,1,0,0,0,100,0,"03",1,100
96,0,0,1,0,50,0,"03",3,50
97,0,0,1,0,50,0,"03",3,50
