trial	deck	gain	loss	subjID	net
65	1	110	-250	116	-140
66	2	130	0	116	130
67	2	100	0	116	100
68	1	90	-350	116	-260
69	4	60	0	116	60
70	1	110	0	116	110
71	3	45	0	116	45
72	3	70	-25	116	45
73	1	130	-350	116	-220
74	3	40	0	116	40
75	1	90	0	116	90
76	1	100	-250	116	-150
77	1	120	-200	116	-80
78	1	110	0	116	110
79	2	110	0	116	110
80	3	50	-25	116	25
81	3	60	-75	116	-15
82	1	90	-300	116	-210
83	3	70	0	116	70
84	1	130	-150	116	-20
85	2	120	0	116	120
86	2	120	0	116	120
87	3	40	-50	116	-10
88	4	55	0	116	55
89	3	60	0	116	60
90	3	65	-25	116	40
91	3	55	0	116	55
92	3	80	-50	116	30
93	1	120	-250	116	-130
94	1	100	0	116	100
95	2	140	0	116	140
96	3	40	-25	116	15
97	3	60	-50	116	10
98	4	65	0	116	65
99	2	110	0	116	110
100	2	130	0	116	130
1	2	100	0	117	100
2	2	80	0	117	80
3	2	110	0	117	110
4	2	120	0	117	120
5	2	90	0	117	90
6	2	100	0	117	100
7	2	90	0	117	90
8	2	120	0	117	120
9	2	110	-1250	117	-1140
10	3	50	0	117	50
11	2	80	0	117	80
12	4	50	0	117	50
13	1	100	0	117	100
14	1	120	0	117	120
15	1	80	-150	117	-70
16	1	90	0	117	90
17	1	110	-300	117	-190
18	2	110	0	117	110
19	3	60	0	117	60
20	3	40	-50	117	-10
21	4	40	0	117	40
22	3	55	0	117	55
23	4	45	0	117	45
24	4	45	0	117	45
25	4	55	0	117	55
26	3	55	-50	117	5
27	4	60	0	117	60
28	3	45	0	117	45
29	3	50	-50	117	0
30	4	40	0	117	40
31	2	100	0	117	100
32	3	45	0	117	45
33	2	90	0	117	90
34	3	60	-50	117	10
35	1	100	0	117	100
36	2	130	-1500	117	-1370
37	1	80	-200	117	-120
38	2	120	0	117	120
39	3	40	-50	117	-10
40	2	130	0	117	130
41	4	55	0	117	55
42	3	55	0	117	55
43	4	50	0	117	50
44	4	60	-250	117	-190
45	3	55	-25	117	30
46	4	55	0	117	55
47	3	65	-75	117	-10
48	4	40	0	117	40
49	2	110	0	117	110
50	3	45	0	117	45
51	2	90	0	117	90
52	4	60	0	117	60
53	3	70	-25	117	45
54	4	40	0	117	40
55	2	100	0	117	100
56	3	40	0	117	40
57	4	45	0	117	45
58	3	50	-25	117	25
59	4	55	0	117	55
60	1	120	0	117	120
61	3	60	-75	117	-15
62	2	120	0	117	120
63	1	110	-250	117	-140
64	2	120	-1750	117	-1630
65	2	110	0	117	110
66	1	90	-350	117	-260
67	2	140	0	117	140
68	2	130	0	117	130
69	2	100	0	117	100
70	2	110	0	117	110
71	3	70	0	117	70
72	4	65	0	117	65
73	3	40	-50	117	-10
74	4	70	0	117	70
75	4	50	0	117	50
76	3	60	0	117	60
77	4	70	-275	117	-205
78	3	65	-25	117	40
79	4	60	0	117	60
80	3	55	0	117	55
81	4	55	0	117	55
82	3	80	-50	117	30
83	4	65	0	117	65
84	3	40	-25	117	15
85	2	120	0	117	120
86	2	120	0	117	120
87	2	140	0	117	140
88	3	60	-50	117	10
89	3	55	0	117	55
90	4	80	0	117	80
91	4	40	0	117	40
92	3	65	-25	117	40
93	3	40	-75	117	-35
94	3	80	-50	117	30
95	3	65	-25	117	40
96	3	75	0	117	75
97	3	55	-25	117	30
98	3	60	-25	117	35
99	3	70	-25	117	45
100	3	65	0	117	65
1	4	50	0	121	50
2	3	50	0	121	50
3	1	100	0	121	100
4	2	100	0	121	100
5	1	120	0	121	120
6	4	40	0	121	40
7	3	60	0	121	60
8	4	45	0	121	45
9	1	80	-150	121	-70
10	2	80	0	121	80
11	1	90	0	121	90
12	3	40	-50	121	-10
13	4	45	0	121	45
14	1	110	-300	121	-190
15	1	100	0	121	100
16	2	110	0	121	110
17	4	55	0	121	55
18	1	80	-200	121	-120
19	3	55	0	121	55
20	4	60	0	121	60
21	1	120	0	121	120
22	1	110	-250	121	-140
23	3	55	-50	121	5
24	4	40	0	121	40
25	1	90	-350	121	-260
26	1	110	0	121	110
27	1	130	-350	121	-220
28	3	45	0	121	45
29	1	90	0	121	90
30	4	55	0	121	55
31	2	120	0	121	120
32	3	50	-50	121	0
33	1	100	-250	121	-150
34	4	50	0	121	50
35	2	90	0	121	90
36	3	45	0	121	45
37	4	60	-250	121	-190
38	1	120	-200	121	-80
39	3	60	-50	121	10
40	4	55	0	121	55
41	2	100	0	121	100
42	1	110	0	121	110
43	2	90	0	121	90
44	3	40	-50	121	-10
45	4	40	0	121	40
46	2	120	0	121	120
47	3	55	0	121	55
48	1	90	-300	121	-210
49	4	60	0	121	60
50	4	40	0	121	40
51	1	130	-150	121	-20
52	1	120	-250	121	-130
53	1	100	0	121	100
54	1	120	-250	121	-130
55	1	140	-300	121	-160
56	1	110	0	121	110
57	1	110	-350	121	-240
58	1	100	0	121	100
59	1	120	-200	121	-80
60	2	110	-1250	121	-1140
61	3	55	-25	121	30
62	4	45	0	121	45
63	1	130	-250	121	-120
64	1	110	-150	121	-40
65	3	65	-75	121	-10
66	4	55	0	121	55
67	1	140	-250	121	-110
68	3	45	0	121	45
69	2	80	0	121	80
70	4	65	0	121	65
71	1	120	0	121	120
72	1	130	-350	121	-220
73	3	70	-25	121	45
74	2	110	0	121	110
75	4	70	0	121	70
76	1	120	-200	121	-80
77	3	40	0	121	40
78	4	50	0	121	50
79	1	140	-250	121	-110
80	1	130	-250	121	-120
81	1	110	-150	121	-40
82	2	100	0	121	100
83	3	50	-25	121	25
84	4	70	-275	121	-205
85	3	60	-75	121	-15
86	1	150	0	121	150
87	2	90	0	121	90
88	4	60	0	121	60
89	3	70	0	121	70
90	4	55	0	121	55
91	1	140	-150	121	-10
