trial	deck	gain	loss	subjID	net
7	1	120	0	136	120
8	1	80	-150	136	-70
9	3	55	0	136	55
10	2	80	0	136	80
11	2	110	0	136	110
12	4	40	0	136	40
13	3	55	-50	136	5
14	1	90	0	136	90
15	4	45	0	136	45
16	4	45	0	136	45
17	3	45	0	136	45
18	4	55	0	136	55
19	1	110	-300	136	-190
20	1	100	0	136	100
21	1	80	-200	136	-120
22	3	50	-50	136	0
23	1	120	0	136	120
24	4	60	0	136	60
25	4	40	0	136	40
26	2	120	0	136	120
27	1	110	-250	136	-140
28	1	90	-350	136	-260
29	4	55	0	136	55
30	3	45	0	136	45
31	4	50	0	136	50
32	2	90	0	136	90
33	4	60	-250	136	-190
34	1	110	0	136	110
35	3	60	-50	136	10
36	2	100	0	136	100
37	2	90	0	136	90
38	4	55	0	136	55
39	2	120	0	136	120
40	1	130	-350	136	-220
41	2	110	-1250	136	-1140
42	1	90	0	136	90
43	1	100	-250	136	-150
44	4	40	0	136	40
45	1	120	-200	136	-80
46	3	40	-50	136	-10
47	2	80	0	136	80
48	2	110	0	136	110
49	1	110	0	136	110
50	4	60	0	136	60
51	3	55	0	136	55
52	4	40	0	136	40
53	2	100	0	136	100
54	2	90	0	136	90
55	1	90	-300	136	-210
56	1	130	-150	136	-20
57	3	55	-25	136	30
58	4	45	0	136	45
59	1	120	-250	136	-130
60	1	100	0	136	100
61	1	120	-250	136	-130
62	3	65	-75	136	-10
63	2	130	-1500	136	-1370
64	1	140	-300	136	-160
65	1	110	0	136	110
66	1	110	-350	136	-240
67	4	55	0	136	55
68	3	45	0	136	45
69	2	120	0	136	120
70	4	65	0	136	65
71	1	100	0	136	100
72	2	130	0	136	130
73	3	70	-25	136	45
74	4	70	0	136	70
75	4	50	0	136	50
76	1	120	-200	136	-80
77	2	110	0	136	110
78	3	40	0	136	40
79	4	70	-275	136	-205
80	1	130	-250	136	-120
81	2	90	0	136	90
82	3	50	-25	136	25
83	2	100	0	136	100
84	4	60	0	136	60
85	1	110	-150	136	-40
86	4	55	0	136	55
87	2	120	0	136	120
88	3	60	-75	136	-15
89	1	140	-250	136	-110
90	4	65	0	136	65
91	1	120	0	136	120
92	4	80	0	136	80
93	3	70	0	136	70
94	2	120	-1750	136	-1630
95	4	40	0	136	40
96	1	130	-350	136	-220
97	1	120	-200	136	-80
98	1	140	-250	136	-110
99	1	130	-250	136	-120
100	3	40	-50	136	-10
1	2	100	0	138	100
2	3	50	0	138	50
3	1	100	0	138	100
4	4	50	0	138	50
5	1	120	0	138	120
6	4	40	0	138	40
7	2	80	0	138	80
8	2	110	0	138	110
9	1	80	-150	138	-70
10	3	60	0	138	60
11	4	45	0	138	45
12	1	90	0	138	90
13	2	120	0	138	120
14	4	45	0	138	45
15	2	90	0	138	90
16	2	100	0	138	100
17	1	110	-300	138	-190
18	3	40	-50	138	-10
19	2	90	0	138	90
20	4	55	0	138	55
21	1	100	0	138	100
22	3	55	0	138	55
23	2	120	0	138	120
24	4	60	0	138	60
25	1	80	-200	138	-120
26	2	110	-1250	138	-1140
27	3	55	-50	138	5
28	2	80	0	138	80
29	1	120	0	138	120
30	3	45	0	138	45
31	4	40	0	138	40
32	1	110	-250	138	-140
33	3	50	-50	138	0
34	4	55	0	138	55
35	2	110	0	138	110
36	3	45	0	138	45
37	1	90	-350	138	-260
38	3	60	-50	138	10
39	2	100	0	138	100
40	2	90	0	138	90
41	1	110	0	138	110
42	1	130	-350	138	-220
43	3	40	-50	138	-10
44	4	50	0	138	50
45	3	55	0	138	55
46	1	90	0	138	90
47	2	130	-1500	138	-1370
48	3	55	-25	138	30
49	2	120	0	138	120
50	1	100	-250	138	-150
51	3	65	-75	138	-10
52	2	130	0	138	130
53	1	120	-200	138	-80
54	4	60	-250	138	-190
55	2	110	0	138	110
56	3	45	0	138	45
57	1	110	0	138	110
58	4	55	0	138	55
59	2	90	0	138	90
60	3	70	-25	138	45
61	1	90	-300	138	-210
62	2	100	0	138	100
63	3	40	0	138	40
64	4	40	0	138	40
65	2	120	0	138	120
66	3	50	-25	138	25
67	2	120	-1750	138	-1630
68	2	110	0	138	110
69	1	130	-150	138	-20
70	2	140	0	138	140
71	3	60	-75	138	-15
72	2	130	0	138	130
73	4	60	0	138	60
74	1	120	-250	138	-130
75	2	100	0	138	100
76	1	100	0	138	100
77	3	70	0	138	70
78	4	40	0	138	40
79	2	110	0	138	110
80	1	120	-250	138	-130
81	2	120	0	138	120
82	3	40	-50	138	-10
83	4	45	0	138	45
84	2	120	0	138	120
85	3	60	0	138	60
86	2	140	0	138	140
87	4	55	0	138	55
88	2	110	0	138	110
89	3	65	-25	138	40
90	1	140	-300	138	-160
91	2	130	0	138	130
92	3	55	0	138	55
93	4	65	0	138	65
94	2	140	-2000	138	-1860
95	3	80	-50	138	30
96	2	120	0	138	120
97	4	70	0	138	70
98	2	110	0	138	110
99	3	40	-25	138	15
100	2	130	0	138	130
1	1	100	0	147	100
2	2	100	0	147	100
3	3	50	0	147	50
4	4	50	0	147	50
5	2	80	0	147	80
6	2	110	0	147	110
7	3	60	0	147	60
8	3	40	-50	147	-10
9	2	120	0	147	120
10	2	90	0	147	90
11	2	100	0	147	100
12	2	90	0	147	90
13	2	120	0	147	120
14	2	110	-1250	147	-1140
15	2	80	0	147	80
16	2	110	0	147	110
17	2	100	0	147	100
18	2	90	0	147	90
19	2	130	-1500	147	-1370
20	2	120	0	147	120
21	2	130	0	147	130
22	2	110	0	147	110
23	2	90	0	147	90
24	1	120	0	147	120
25	1	80	-150	147	-70
26	1	90	0	147	90
27	1	110	-300	147	-190
28	3	55	0	147	55
29	3	55	-50	147	5
30	4	40	0	147	40
31	4	45	0	147	45
32	4	45	0	147	45
33	4	55	0	147	55
34	4	60	0	147	60
35	4	40	0	147	40
36	4	55	0	147	55
37	4	50	0	147	50
38	4	60	-250	147	-190
39	3	45	0	147	45
40	3	50	-50	147	0
41	3	45	0	147	45
42	2	100	0	147	100
43	2	120	0	147	120
44	2	120	-1750	147	-1630
45	3	60	-50	147	10
46	1	100	0	147	100
47	1	80	-200	147	-120
48	4	55	0	147	55
49	4	40	0	147	40
50	4	60	0	147	60
51	1	120	0	147	120
52	2	110	0	147	110
53	3	40	-50	147	-10
54	4	40	0	147	40
55	3	55	0	147	55
56	2	140	0	147	140
57	3	55	-25	147	30
58	2	130	0	147	130
59	1	110	-250	147	-140
60	2	100	0	147	100
61	3	65	-75	147	-10
62	2	110	0	147	110
63	3	45	0	147	45
64	2	120	0	147	120
65	1	90	-350	147	-260
66	3	70	-25	147	45
67	2	120	0	147	120
68	2	140	0	147	140
69	1	110	0	147	110
70	2	110	0	147	110
71	2	130	0	147	130
72	3	40	0	147	40
73	3	50	-25	147	25
74	1	130	-350	147	-220
75	2	140	-2000	147	-1860
76	3	60	-75	147	-15
77	4	45	0	147	45
78	1	90	0	147	90
79	2	120	0	147	120
80	2	110	0	147	110
81	3	70	0	147	70
82	3	40	-50	147	-10
83	2	130	0	147	130
84	2	150	0	147	150
85	1	100	-250	147	-150
86	4	55	0	147	55
87	1	120	-200	147	-80
88	4	65	0	147	65
89	3	60	0	147	60
90	2	110	0	147	110
91	1	110	0	147	110
92	3	65	-25	147	40
93	2	150	0	147	150
94	1	90	-300	147	-210
95	4	70	0	147	70
96	3	55	0	147	55
97	2	120	0	147	120
98	1	130	-150	147	-20
99	2	140	0	147	140
100	3	80	-50	147	30
1	1	100	0	148	100
2	2	100	0	148	100
3	4	50	0	148	50
4	1	120	0	148	120
5	2	80	0	148	80
6	2	110	0	148	110
7	2	120	0	148	120
8	1	80	-150	148	-70
9	4	40	0	148	40
10	2	90	0	148	90
11	3	50	0	148	50
12	3	60	0	148	60
13	4	45	0	148	45
14	4	45	0	148	45
15	1	90	0	148	90
16	2	100	0	148	100
17	2	90	0	148	90
18	2	120	0	148	120
19	4	55	0	148	55
20	4	60	0	148	60
21	1	110	-300	148	-190
22	2	110	-1250	148	-1140
23	4	40	0	148	40
24	4	55	0	148	55
25	2	80	0	148	80
26	1	100	0	148	100
27	2	110	0	148	110
28	2	100	0	148	100
29	4	50	0	148	50
30	4	60	-250	148	-190
31	3	40	-50	148	-10
32	4	55	0	148	55
33	1	80	-200	148	-120
34	3	55	0	148	55
35	2	90	0	148	90
36	4	40	0	148	40
37	1	120	0	148	120
38	3	55	-50	148	5
39	2	130	-1500	148	-1370
40	4	60	0	148	60
41	2	120	0	148	120
42	1	110	-250	148	-140
43	2	130	0	148	130
44	4	40	0	148	40
45	3	45	0	148	45
46	2	110	0	148	110
47	1	90	-350	148	-260
48	4	45	0	148	45
49	2	90	0	148	90
50	3	50	-50	148	0
51	1	110	0	148	110
52	3	45	0	148	45
53	2	100	0	148	100
54	4	55	0	148	55
55	1	130	-350	148	-220
56	3	60	-50	148	10
57	2	120	0	148	120
58	4	65	0	148	65
59	1	90	0	148	90
60	3	40	-50	148	-10
61	4	70	0	148	70
62	1	100	-250	148	-150
63	2	120	-1750	148	-1630
64	3	55	0	148	55
65	2	110	0	148	110
66	1	120	-200	148	-80
67	4	50	0	148	50
68	3	55	-25	148	30
69	4	70	-275	148	-205
70	2	140	0	148	140
71	1	110	0	148	110
72	2	130	0	148	130
73	1	90	-300	148	-210
74	2	100	0	148	100
75	1	130	-150	148	-20
76	1	120	-250	148	-130
77	2	110	0	148	110
78	4	60	0	148	60
79	2	120	0	148	120
80	4	55	0	148	55
81	2	120	0	148	120
82	4	65	0	148	65
83	3	65	-75	148	-10
84	2	140	0	148	140
85	4	80	0	148	80
86	2	110	0	148	110
87	4	40	0	148	40
88	2	130	0	148	130
89	1	100	0	148	100
90	2	140	-2000	148	-1860
91	2	120	0	148	120
92	4	80	0	148	80
93	3	45	0	148	45
94	1	120	-250	148	-130
95	2	110	0	148	110
96	1	140	-300	148	-160
97	2	130	0	148	130
98	4	40	0	148	40
99	2	150	0	148	150
100	4	65	0	148	65
1	2	100	0	156	100
2	4	50	0	156	50
3	3	50	0	156	50
4	1	100	0	156	100
5	2	80	0	156	80
6	3	60	0	156	60
7	1	120	0	156	120
8	4	40	0	156	40
9	1	80	-150	156	-70
10	2	110	0	156	110
11	3	40	-50	156	-10
12	2	120	0	156	120
13	4	45	0	156	45
14	1	90	0	156	90
15	3	55	0	156	55
16	4	45	0	156	45
17	1	110	-300	156	-190
18	2	90	0	156	90
19	3	55	-50	156	5
20	1	100	0	156	100
21	4	55	0	156	55
22	2	100	0	156	100
23	3	45	0	156	45
24	4	60	0	156	60
25	3	50	-50	156	0
26	1	80	-200	156	-120
27	2	90	0	156	90
28	2	120	0	156	120
29	3	45	0	156	45
30	2	110	-1250	156	-1140
31	4	40	0	156	40
32	2	80	0	156	80
33	3	60	-50	156	10
34	1	120	0	156	120
35	2	110	0	156	110
36	4	55	0	156	55
37	3	40	-50	156	-10
38	2	100	0	156	100
39	4	50	0	156	50
40	2	90	0	156	90
41	4	60	-250	156	-190
42	1	110	-250	156	-140
43	2	130	-1500	156	-1370
44	3	55	0	156	55
45	2	120	0	156	120
46	4	55	0	156	55
47	2	130	0	156	130
48	3	55	-25	156	30
49	1	90	-350	156	-260
50	2	110	0	156	110
51	4	40	0	156	40
52	3	65	-75	156	-10
53	2	90	0	156	90
54	4	60	0	156	60
55	2	100	0	156	100
56	4	40	0	156	40
57	2	120	0	156	120
58	4	45	0	156	45
59	1	110	0	156	110
60	2	120	-1750	156	-1630
61	3	45	0	156	45
62	2	110	0	156	110
